task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
60	68/700609	6114	tcperreadpos (RT_Gad2_3)	COMPLETED	0	2020-12-03 07:09:12.021	9m 2s	9m 2s	93.8%	778 MB	1.4 GB	5.6 GB	53.2 KB
62	1d/9fa72d	10697	utrrates (RT_Gad2_3)	COMPLETED	0	2020-12-03 07:14:33.392	5m 2s	5m 1s	80.2%	73.6 MB	764.2 MB	5.2 GB	14.4 MB
61	62/39c878	18403	count (RT_Gad2_3)	COMPLETED	0	2020-12-03 07:19:34.944	8m 4s	8m 4s	88.9%	206.3 MB	816.8 MB	5.9 GB	29.4 MB
63	d7/424d0e	29294	rates (S1_vGluT2_3)	COMPLETED	0	2020-12-03 07:27:38.924	2m 13s	2m 13s	80.2%	773.8 MB	1.4 GB	5.4 GB	22.5 KB
66	ef/e5d58b	31641	tcperreadpos (S1_vGluT2_3)	COMPLETED	0	2020-12-03 07:29:51.874	4m 52s	4m 52s	88.3%	782.6 MB	1.4 GB	5.4 GB	52.8 KB
58	e8/502665	16029	tcperutrpos (RT_Gad2_3)	COMPLETED	0	2020-12-03 07:18:14.028	17m 45s	17m 45s	94.2%	73.3 MB	764.2 MB	5.2 GB	79 KB
65	d9/e12ba7	4992	count (S1_vGluT2_3)	COMPLETED	0	2020-12-03 07:35:59.121	3m 44s	3m 44s	83.7%	149.9 MB	771.5 MB	5.1 GB	23.5 MB
67	93/53c889	3378	tcperutrpos (S1_vGluT2_3)	COMPLETED	0	2020-12-03 07:34:43.899	7m 26s	7m 26s	90.5%	74.2 MB	764.2 MB	4.3 GB	78.2 KB
64	16/6fd915	10348	utrrates (S1_vGluT2_3)	COMPLETED	0	2020-12-03 07:39:43.320	2m 28s	2m 28s	76.4%	87.6 MB	764.2 MB	4.4 GB	14.2 MB
68	30/dccc48	14138	rates (S1_Gad2_1)	COMPLETED	0	2020-12-03 07:42:10.088	2m 24s	2m 24s	75.4%	785.1 MB	1.4 GB	5.4 GB	22.5 KB
72	60/f646ed	14362	tcperreadpos (S1_Gad2_1)	COMPLETED	0	2020-12-03 07:42:11.646	5m 20s	5m 20s	90.6%	763 MB	1.4 GB	5.4 GB	52.8 KB
70	fd/8bb02e	22901	utrrates (S1_Gad2_1)	COMPLETED	0	2020-12-03 07:47:32.120	2m 39s	2m 39s	78.2%	73.8 MB	764.2 MB	4.4 GB	14.3 MB
71	5c/229c7f	18479	tcperutrpos (S1_Gad2_1)	COMPLETED	0	2020-12-03 07:44:34.444	8m 14s	8m 14s	91.7%	76.5 MB	764.2 MB	4.4 GB	78.2 KB
69	50/ce21bf	26893	count (S1_Gad2_1)	COMPLETED	0	2020-12-03 07:50:11.254	4m 11s	4m 11s	83.1%	162.2 MB	773.7 MB	5.1 GB	24.2 MB
76	8f/777b37	1013	rates (RT_vGluT2_1)	COMPLETED	0	2020-12-03 07:54:22.554	4m 49s	4m 48s	87.1%	762.6 MB	1.4 GB	5.9 GB	22.5 KB
74	66/0c4f66	30883	tcperreadpos (RT_vGluT2_1)	COMPLETED	0	2020-12-03 07:52:48.595	13m 21s	13m 20s	94.5%	769.3 MB	1.4 GB	5.9 GB	53.2 KB
77	e3/253fe4	7764	utrrates (RT_vGluT2_1)	COMPLETED	0	2020-12-03 07:59:11.207	7m 5s	7m 5s	83.7%	76.5 MB	764.2 MB	5.9 GB	14.5 MB
73	65/2632df	15899	count (RT_vGluT2_1)	COMPLETED	0	2020-12-03 08:06:16.137	12m 14s	12m 13s	88.3%	220.6 MB	841.8 MB	6.6 GB	35 MB
81	91/8b42fe	29383	tcperreadpos (S1_Gad2_3)	COMPLETED	0	2020-12-03 08:18:29.678	4m 42s	4m 42s	89.5%	773.1 MB	1.4 GB	5.4 GB	52.7 KB
79	8a/98c368	1014	rates (S1_Gad2_3)	COMPLETED	0	2020-12-03 08:23:11.422	2m 10s	2m 10s	79.5%	777.4 MB	1.4 GB	5.4 GB	22.5 KB
80	14/753991	3331	tcperutrpos (S1_Gad2_3)	COMPLETED	0	2020-12-03 08:25:21.603	6m 58s	6m 58s	90.9%	73.6 MB	764.2 MB	4.3 GB	78 KB
75	79/f754fa	15267	tcperutrpos (RT_vGluT2_1)	COMPLETED	0	2020-12-03 08:06:09.269	27m 15s	27m 15s	95.5%	73.7 MB	764.1 MB	5.9 GB	79.4 KB
82	ab/4d57cf	9160	utrrates (S1_Gad2_3)	COMPLETED	0	2020-12-03 08:32:19.973	2m 23s	2m 22s	73.1%	146.2 MB	865 MB	4.3 GB	14.2 MB
78	56/0a9bab	10559	count (S1_Gad2_3)	COMPLETED	0	2020-12-03 08:33:24.016	3m 37s	3m 36s	81.0%	151.9 MB	769.4 MB	5 GB	22.8 MB
84	c8/124947	16543	rates (S1_Gad2_2)	COMPLETED	0	2020-12-03 08:37:00.606	2m 25s	2m 24s	79.6%	855.8 MB	1.5 GB	5.4 GB	22.5 KB
85	56/9821cf	12955	tcperreadpos (S1_Gad2_2)	COMPLETED	0	2020-12-03 08:34:42.637	5m 34s	5m 34s	90.6%	763.7 MB	1.4 GB	5.4 GB	52.8 KB
87	14/13f0a1	20349	utrrates (S1_Gad2_2)	COMPLETED	0	2020-12-03 08:39:25.128	2m 37s	2m 37s	75.3%	212.9 MB	994 MB	4.4 GB	14.3 MB
