"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu01200","mmu01200","Carbon metabolism","48/2092","123/8384",0.000363746314888154,0.00136083915452274,0.000752267920573644,"235339/66925/15929/13807/78920/12974/67680/18648/17448/18641/17449/18293/56421/66945/68263/14661/13885/20916/11429/17850/18563/14718/72141/108037/110639/15926/14194/60525/269951/109264/11674/18597/19139/14719/110446/67834/18746/66904/15275/227095/67078/75731/56451/14433/66052/433182/353204/18655",48
"mmu05030","mmu05030","Cocaine addiction","23/2092","48/8384",0.000465253340083621,0.00172035537379758,0.000951007439338614,"21823/108069/18749/18747/12915/13385/13488/224129/108068/12912/14810/11909/14683/14812/14678/14800/242443/11911/12064/12569/16476/14811/19049",23
"mmu04916","mmu04916","Melanogenesis","40/2092","99/8384",0.000481935844704344,0.00174260556724588,0.000963307281463299,"216795/12313/13544/26395/18749/18747/12387/14365/12315/17311/432530/210044/12325/22418/11514/56637/224129/11512/12322/14682/21416/15461/12912/22409/14683/18176/16842/13542/16653/14681/14678/12314/18750/18795/18751/108058/12323/26417/26413/18752",40
"mmu05216","mmu05216","Thyroid cancer","19/2092","37/8384",0.000482230471439112,0.00174260556724588,0.000963307281463299,"109880/12028/26395/12387/20183/27015/21787/12575/21416/15461/18176/59069/16842/16653/20182/76551/22059/26417/26413",19
"mmu04971","mmu04971","Gastric acid secretion","32/2092","75/8384",0.000563957694165619,0.00200318867919031,0.00110735686668249,"12313/20604/18749/18747/98660/12315/432530/210044/12325/11514/224129/11512/12322/14682/11931/14683/12349/11461/14678/11928/12314/16526/232975/11932/20606/18750/18795/18751/108058/12323/11465/18752",32
"mmu05230","mmu05230","Central carbon metabolism in cancer","30/2092","69/8384",0.000566940192223672,0.00200318867919031,0.00110735686668249,"11651/11652/26395/18648/19211/23797/18641/15251/56421/68263/15461/15926/18706/18176/20525/56717/16832/16653/269951/18597/18709/18746/15275/319801/18708/18213/22059/26417/16828/26413",30
"mmu04014","mmu04014","Ras signaling pathway","80/2092","232/8384",0.00063235704037511,0.00220977515208005,0.00122155726712138,"18591/19344/12313/11651/19353/21844/11652/26395/18749/18747/16001/12540/12048/11848/58231/19345/12315/23797/17311/67112/18015/18806/14706/19418/26419/14180/224105/19765/20662/12978/225870/12015/22340/15461/18590/54354/19731/11352/14810/19419/18706/18176/66350/13638/14688/72399/19415/14693/14812/16653/70584/18479/18481/18709/14697/19417/17532/14701/12314/14700/18708/217944/14702/11845/26414/14708/12064/13640/18750/18751/18212/14811/14784/26417/26413/240057/109905/240168/14704/18752",80
"mmu03060","mmu03060","Protein export","15/2092","27/8384",0.00064677271068917,0.00221154539784039,0.00122253585382107,"20813/66384/140740/217337/69019/57743/27058/14828/66624/66661/66541/76976/76219/24067/20335",15
"mmu04966","mmu04966","Collecting duct acid secretion","15/2092","27/8384",0.00064677271068917,0.00221154539784039,0.00122253585382107,"66144/11966/11972/11974/11973/11975/73834/66335/11984/66237/12349/21871/66290/76252/11964",15
"mmu04929","mmu04929","GnRH secretion","27/2092","61/8384",0.000752819900499499,0.00254677370594512,0.0014078490860405,"11651/11652/26395/12289/23797/15165/58226/54393/14682/15461/16519/18706/18176/15168/16653/18709/14672/16524/242425/18708/18750/18795/12288/18751/26417/26413/18752",27
"mmu05034","mmu05034","Alcoholism","63/2092","176/8384",0.000786219365631304,0.00263176587653426,0.00145483251036485,"21823/11836/12313/109880/19047/434233/79221/26395/18749/18747/12915/26914/15081/68024/12315/15182/404634/11540/55984/14706/13488/224129/63959/20662/13340/15461/12912/14810/11909/18767/14683/18176/14688/207565/14693/109648/14812/16653/14681/14697/14678/232232/14701/12314/51788/14700/242443/19045/77605/11911/14702/14708/12064/15270/18212/14811/14784/15078/19049/26417/26413/14704/319162",63
"mmu04152","mmu04152","AMPK signaling pathway","47/2092","124/8384",0.000885289373596447,0.00293252105003823,0.00162108909419525,"11651/17274/20869/16890/11652/16001/51792/67605/26931/23797/18641/19052/19325/26932/56421/15357/71978/18607/72930/20250/12912/227154/72674/226849/170768/68365/18706/108079/19744/56717/269643/19017/207565/22241/68465/18709/68401/12283/384783/15568/18708/52432/59021/56484/19082/72149/19326",47
"mmu04130","mmu04130","SNARE interactions in vesicular transport","17/2092","33/8384",0.000907572358004958,0.00297534030768636,0.00164475945509309,"56418/20907/53334/53331/22318/56494/53612/67474/53611/54399/58244/53330/228960/71116/22317/56216/20955",17
"mmu05161","mmu05161","Hepatitis B","56/2092","154/8384",0.000979902971957265,0.00317968515390215,0.00175772069083634,"13205/11836/11651/20852/109880/12028/20848/11652/26395/22335/12915/68652/54401/54411/23797/11783/22031/26419/22631/29857/12575/20662/13194/12015/15461/12912/20846/11909/18538/20779/18706/18176/16451/12371/16653/16179/12367/18709/17127/26398/13655/18708/11911/26414/18750/16476/18751/26416/19229/22059/14784/26417/26413/13063/22630/18752",56
"mmu05163","mmu05163","Human cytomegalovirus infection","81/2092","239/8384",0.00105599820330301,0.00339199422879148,0.00187508452899099,"12313/20683/11651/19353/12317/12028/20848/11652/26395/18749/18747/12567/12387/11848/12915/12928/12315/23797/432530/19878/14706/210044/19056/11514/14083/29857/56637/224129/11512/12575/20662/21356/14682/15461/12912/16410/11909/14827/14683/20779/18706/18176/19055/16451/12371/19744/56717/14688/14693/16653/12367/14681/20312/18709/14697/14678/19058/14672/14701/12314/14700/18708/11911/14702/14708/18750/18795/18751/26416/19229/69632/22059/14784/12010/20315/26417/26413/13063/14704/14964/18752",81
