"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005762","GO:0005762","mitochondrial large ribosomal subunit","2/933","60/23436",0.695629680448831,0.761583836198005,0.438821095848524,"94064/68499",2
"GO:0000314","GO:0000314","organellar small ribosomal subunit","1/933","30/23436",0.704625214186362,0.765951387357111,0.441337658693898,"67994",1
"GO:0005763","GO:0005763","mitochondrial small ribosomal subunit","1/933","30/23436",0.704625214186362,0.765951387357111,0.441337658693898,"67994",1
"GO:0045334","GO:0045334","clathrin-coated endocytic vesicle","1/933","30/23436",0.704625214186362,0.765951387357111,0.441337658693898,"67300",1
"GO:1902555","GO:1902555","endoribonuclease complex","1/933","30/23436",0.704625214186362,0.765951387357111,0.441337658693898,"66078",1
"GO:0000313","GO:0000313","organellar ribosome","3/933","92/23436",0.714541126261632,0.773256406790205,0.445546777218299,"94064/68499/67994",3
"GO:0005761","GO:0005761","mitochondrial ribosome","3/933","92/23436",0.714541126261632,0.773256406790205,0.445546777218299,"94064/68499/67994",3
"GO:0042470","GO:0042470","melanosome","1/933","31/23436",0.716399318055632,0.773256406790205,0.445546777218299,"19324",1
"GO:0048770","GO:0048770","pigment granule","1/933","31/23436",0.716399318055632,0.773256406790205,0.445546777218299,"19324",1
"GO:0008305","GO:0008305","integrin complex","1/933","32/23436",0.727704570619361,0.780033910924291,0.449451943859026,"16412",1
"GO:0030666","GO:0030666","endocytic vesicle membrane","1/933","32/23436",0.727704570619361,0.780033910924291,0.449451943859026,"219024",1
"GO:0080008","GO:0080008","Cul4-RING E3 ubiquitin ligase complex","1/933","32/23436",0.727704570619361,0.780033910924291,0.449451943859026,"56438",1
"GO:0005759","GO:0005759","mitochondrial matrix","9/933","264/23436",0.728158485973372,0.780033910924291,0.449451943859026,"12974/12261/17448/22333/14661/94064/11947/68499/67994",9
"GO:0032421","GO:0032421","stereocilium bundle","2/933","64/23436",0.729051302367148,0.780033910924291,0.449451943859026,"18472/193385",2
"GO:0098636","GO:0098636","protein complex involved in cell adhesion","1/933","35/23436",0.75899005097056,0.810649059675363,0.467092251446932,"16412",1
"GO:0055029","GO:0055029","nuclear DNA-directed RNA polymerase complex","3/933","100/23436",0.765659920849875,0.816348208292898,0.470376074609771,"101206/20016/67710",3
"GO:1905348","GO:1905348","endonuclease complex","1/933","36/23436",0.768599139575511,0.818056823339501,0.471360570723655,"66078",1
"GO:0000428","GO:0000428","DNA-directed RNA polymerase complex","3/933","101/23436",0.771494833858133,0.819713260974267,0.472315002453353,"101206/20016/67710",3
"GO:0098862","GO:0098862","cluster of actin-based cell projections","6/933","191/23436",0.776414769507811,0.823510986029082,0.474503234124084,"18537/18472/12345/193385/18751/17904",6
"GO:0005657","GO:0005657","replication fork","2/933","71/23436",0.780038011913172,0.825922600849241,0.475892795466969,"19290/19291",2
"GO:0005903","GO:0005903","brush border","4/933","134/23436",0.785420057137093,0.830087657828251,0.478292682099181,"18537/12345/18751/17904",4
"GO:0000788","GO:0000788","nuclear nucleosome","1/933","38/23436",0.786684381601937,0.830087657828251,0.478292682099181,"15078",1
"GO:0030880","GO:0030880","RNA polymerase complex","3/933","104/23436",0.788288703557841,0.830348858136659,0.478443184512867,"101206/20016/67710",3
"GO:0043235","GO:0043235","receptor complex","13/933","394/23436",0.792807197203162,0.833673547574459,0.480358855241562,"11820/54393/12794/16412/56177/53378/14400/76192/244723/14800/18212/18213/19229",13
"GO:0000803","GO:0000803","sex chromosome","1/933","39/23436",0.795190385190508,0.834745310011306,0.480976399817316,"15078",1
"GO:0031526","GO:0031526","brush border membrane","2/933","74/23436",0.799186866680311,0.837504045219778,0.482565970327873,"18537/18751",2
"GO:0016235","GO:0016235","aggresome","1/933","40/23436",0.803357559213556,0.840435600408028,0.484255118914155,"18412",1
"GO:0005637","GO:0005637","nuclear inner membrane","1/933","41/23436",0.811199386759024,0.8471911684241,0.488147646064798,"223697",1
"GO:0044391","GO:0044391","ribosomal subunit","7/933","230/23436",0.813950677271467,0.848616379029196,0.488968845845856,"76846/94064/68499/67994/76808/66475/18148",7
"GO:0016591","GO:0016591","RNA polymerase II, holoenzyme","2/933","77/23436",0.816842935097098,0.849257685999347,0.489338363965912,"101206/67710",2
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex","1/933","42/23436",0.818728814934011,0.849257685999347,0.489338363965912,"12575",1
"GO:0045095","GO:0045095","keratin filament","1/933","42/23436",0.818728814934011,0.849257685999347,0.489338363965912,"93687",1
"GO:0030684","GO:0030684","preribosome","2/933","78/23436",0.822412142821072,0.851634909317253,0.490708109083728,"230082/102462",2
"GO:0032391","GO:0032391","photoreceptor connecting cilium","1/933","45/23436",0.839564575688948,0.867928243786548,0.500096253299782,"320299",1
"GO:0022626","GO:0022626","cytosolic ribosome","4/933","148/23436",0.84523253737143,0.872314186966805,0.502623413542965,"76846/76808/66475/58887",4
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","11/933","359/23436",0.850143719501617,0.875399944324767,0.504401412708629,"12317/21858/11749/14873/16412/353156/23837/18746/215015/13138/94214",11
"GO:0015934","GO:0015934","large ribosomal subunit","4/933","150/23436",0.852513671270525,0.875399944324767,0.504401412708629,"94064/68499/76808/18148",4
"GO:0097730","GO:0097730","non-motile cilium","4/933","150/23436",0.852513671270525,0.875399944324767,0.504401412708629,"320634/320299/17754/14688",4
