"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042383","GO:0042383","sarcolemma","2/36","163/23436",0.025949184417834,0.105082969342303,0.0670063468478251,"12390/14683",2
"GO:0030027","GO:0030027","lamellipodium","2/36","165/23436",0.026541218463779,0.105082969342303,0.0670063468478251,"12387/56378",2
"GO:0031528","GO:0031528","microvillus membrane","1/36","18/23436",0.0273014662074269,0.105082969342303,0.0670063468478251,"12387",1
"GO:0099144","GO:0099144","anchored component of synaptic membrane","1/36","18/23436",0.0273014662074269,0.105082969342303,0.0670063468478251,"216169",1
"GO:0043034","GO:0043034","costamere","1/36","19/23436",0.0287967752524582,0.105082969342303,0.0670063468478251,"14359",1
"GO:0043186","GO:0043186","P granule","1/36","19/23436",0.0287967752524582,0.105082969342303,0.0670063468478251,"13205",1
"GO:0045495","GO:0045495","pole plasm","1/36","19/23436",0.0287967752524582,0.105082969342303,0.0670063468478251,"13205",1
"GO:0060293","GO:0060293","germ plasm","1/36","19/23436",0.0287967752524582,0.105082969342303,0.0670063468478251,"13205",1
"GO:0005911","GO:0005911","cell-cell junction","3/36","441/23436",0.0298682926297838,0.106619094865094,0.0679858600860416,"12387/18053/18753",3
"GO:0000930","GO:0000930","gamma-tubulin complex","1/36","20/23436",0.0302898493478123,0.106619094865094,0.0679858600860416,"18578",1
"GO:0098562","GO:0098562","cytoplasmic side of membrane","2/36","180/23436",0.0311539779974771,0.106619094865094,0.0679858600860416,"12390/14683",2
"GO:0030135","GO:0030135","coated vesicle","2/36","181/23436",0.0314720985441587,0.106619094865094,0.0679858600860416,"14683/18053",2
"GO:0098831","GO:0098831","presynaptic active zone cytoplasmic component","1/36","21/23436",0.0317806917386337,0.106619094865094,0.0679858600860416,"12387",1
"GO:0032993","GO:0032993","protein-DNA complex","2/36","186/23436",0.0330821060773908,0.109223461334877,0.0696465391102963,"12387/21679",2
"GO:0030017","GO:0030017","sarcomere","2/36","189/23436",0.0340634733240922,0.109333199585465,0.0697165139057115,"12387/18578",2
"GO:0005667","GO:0005667","transcription regulator complex","3/36","465/23436",0.0341666248704578,0.109333199585465,0.0697165139057115,"12387/21679/23994",3
"GO:0034364","GO:0034364","high-density lipoprotein particle","1/36","23/23436",0.0347556943643931,0.109533097390815,0.0698439791054789,"20210",1
"GO:0002080","GO:0002080","acrosomal membrane","1/36","24/23436",0.0362398610667758,0.112505837341632,0.0717395521510408,"12390",1
"GO:0042734","GO:0042734","presynaptic membrane","2/36","198/23436",0.037075351624935,0.113406957911566,0.0723141533241767,"12387/20907",2
"GO:0015629","GO:0015629","actin cytoskeleton","3/36","487/23436",0.0383764181008749,0.114843952226445,0.0732304553670653,"12343/20907/56378",3
"GO:0097440","GO:0097440","apical dendrite","1/36","26/23436",0.0392015413849885,0.114843952226445,0.0732304553670653,"56418",1
"GO:0099524","GO:0099524","postsynaptic cytosol","1/36","26/23436",0.0392015413849885,0.114843952226445,0.0732304553670653,"18753",1
"GO:0097225","GO:0097225","sperm midpiece","1/36","27/23436",0.0406790614409536,0.117517288607199,0.0749351131807039,"18747",1
"GO:0016342","GO:0016342","catenin complex","1/36","28/23436",0.0421543723806828,0.118487965610568,0.0755540671403418,"12387",1
"GO:0030137","GO:0030137","COPI-coated vesicle","1/36","28/23436",0.0421543723806828,0.118487965610568,0.0755540671403418,"14683",1
"GO:0034703","GO:0034703","cation channel complex","2/36","219/23436",0.0444834034626189,0.123367305602996,0.0786653871759997,"18578/20907",2
"GO:0045334","GO:0045334","clathrin-coated endocytic vesicle","1/36","30/23436",0.0450983797418308,0.12342714455659,0.0787035435937768,"18053",1
"GO:0099568","GO:0099568","cytoplasmic region","2/36","223/23436",0.0459524248969441,0.124131225695641,0.079152502214832,"12387/18747",2
"GO:0032588","GO:0032588","trans-Golgi network membrane","1/36","31/23436",0.0465670825671447,0.124178886845719,0.0791828934340112,"14683",1
"GO:0008021","GO:0008021","synaptic vesicle","2/36","227/23436",0.0474393518858157,0.124903610028477,0.0796450144918424,"18578/20907",2
"GO:0016323","GO:0016323","basolateral plasma membrane","2/36","229/23436",0.0481894482847665,0.125101348044409,0.0797711024979529,"12387/192113",2
