"","gene_name","log2FC_deseq2.x","padj.x","avg.RPM.ctrl.x","log2FC_deseq2.y","padj.y","avg.RPM.ctrl.y"
"164","ENSMUSG00000040907",3.40438387327183,0.22845415941434,5796.69167716117,-0.300876280553553,0.989844530319054,8713.21993310416
"27","ENSMUSG00000015671",3.04652426434704,0.466321300571563,273.550271107271,-0.563313131330231,0.974505030171927,130.307123490278
"80","ENSMUSG00000025576",2.90762962813776,0.339894576576213,609.588764823922,-0.54965597175072,0.974505030171927,799.019765724642
"17","ENSMUSG00000006057",2.9797045841576,0.401899100778108,1619.66871843164,-0.824685852676208,0.974505030171927,1365.00591259443
"95","ENSMUSG00000027523",2.80406206503269,0.418135362615902,6960.13823372125,-0.786289344210222,0.974505030171927,6140.35882505904
"19","ENSMUSG00000006932",1.69263805901187,0.69194828759812,302.93170640927,-1.72562544499331,0.931033334536483,276.082272109765
"42","ENSMUSG00000020612",2.74022859664577,0.450457663424007,248.588013993601,-1.94717920166197,0.905837443301084,333.0484240479
"153","ENSMUSG00000038453",2.49470301793188,0.447711548701083,396.543210519542,-1.9614140488967,0.845366689187258,454.074277248708
"12","ENSMUSG00000005034",2.32075079197605,0.464732398153169,1705.49607919969,-1.45071706452085,0.89411529779714,2471.57162422514
"112","ENSMUSG00000029819",2.35623794638593,0.57985464482852,325.524102684938,-1.53357129923924,0.974505030171927,327.80814129465
"62","ENSMUSG00000023004",2.61342182754283,0.495812015949249,451.318717461364,-1.32895938853677,0.96880821468733,406.062383083337
"177","ENSMUSG00000047187",2.57504173177655,0.567842377528642,319.974406718901,-1.58845761414176,0.9167129637952,296.179189488567
"171","ENSMUSG00000042700",0.50252801492231,0.904302691436934,597.949524329325,-0.000876988756034918,0.999935603347197,311.194413729299
"61","ENSMUSG00000022964",0.382912352565146,0.958440894877226,60.0620435520107,-0.123539051274618,0.993871679664425,70.0791371451633
"73","ENSMUSG00000024953",0.326199726853192,0.940607698372188,2431.46549656017,-0.0187909817328514,0.996065505842497,2032.66903842891
"199","ENSMUSG00000057506",0.265064756433283,0.967384775279287,45.5571702304126,-0.00429938091910268,0.999600174674321,31.9791906039604
"125","ENSMUSG00000031827",0.277143085120522,0.962290190191351,121.973920786087,-0.2682742601902,0.993871679664425,127.783426197829
"77","ENSMUSG00000025326",0.430717929020125,0.945319891935529,136.67562701933,-0.462477426902282,0.989844530319054,133.010606402117
"133","ENSMUSG00000033066",0.450700102380169,0.926845971684587,246.043408212808,-0.311447291280444,0.993871679664425,218.657935992204
"217","ENSMUSG00000086040",-0.627500896097512,0.897278733344246,170.687480139175,0.0757117694024606,0.993871679664425,135.668013122087
"100","ENSMUSG00000028656",-0.443919553331793,0.924889598537315,82.5838785349269,0.261961682736138,0.993871679664425,109.2035708047
"131","ENSMUSG00000032601",-0.402751990767131,0.924889598537315,297.087350523179,0.144041501786037,0.993871679664425,485.31955540916
"220","ENSMUSG00000097148",-0.0936683146516603,0.991916489320209,1057.20114536868,0.123575754201979,0.993871679664425,927.43055892622
"98","ENSMUSG00000028488",-0.359216777838,0.932871888234596,353.582357248553,0.491958457835921,0.974505030171927,357.133412903225
"178","ENSMUSG00000047260",-0.183981464574743,0.977813420093474,128.656346982006,0.429070304440507,0.989844530319054,128.160139089793
"94","ENSMUSG00000027438",0.995659360170693,0.861746836286687,413.390933244251,-1.6536539320362,0.967311437393445,601.023710648379
"84","ENSMUSG00000026452",0.730137671739369,0.888736931939562,459.674657660985,-1.52551497652737,0.959388625861817,532.909207291943
"54","ENSMUSG00000021936",0.640297968634006,0.888736931939562,146.745188171646,-1.35925180454483,0.974505030171927,101.577184318014
"123","ENSMUSG00000031198",0.679580554130918,0.897278733344246,214.733346333857,-1.32424438569321,0.96880821468733,121.119194583714
"180","ENSMUSG00000048240",0.200045688171366,0.974071827535092,664.95890449083,-1.00397797263556,0.974505030171927,585.857221713789
"71","ENSMUSG00000024617",0.897409670058339,0.803794487396738,12504.7529546304,-0.930952405774134,0.974505030171927,23220.6709131073
"169","ENSMUSG00000042425",0.846777541245417,0.88772129872239,66.9028001006609,-0.935695428294641,0.974505030171927,51.0445109164073
"114","ENSMUSG00000030283",0.872916403071766,0.812627006504287,60.6423994077633,-1.24900894768214,0.925847071338404,130.162306831067
"216","ENSMUSG00000078307",0.826956122100892,0.84917798921308,414.359176211743,-1.19924904069896,0.96880821468733,419.925080483319
"86","ENSMUSG00000026576",1.36656015830266,0.69194828759812,4402.05685714416,-0.112005975037986,0.993871679664425,4854.19633258586
"145","ENSMUSG00000036306",1.18787771098774,0.788463578798239,253.159240320694,-0.0359381350392782,0.993871679664425,164.558086592011
"174","ENSMUSG00000045038",1.53495613644626,0.753253938704416,343.00635344863,-0.0122065331671203,0.997779520916965,601.534628043191
"182","ENSMUSG00000049299",1.59938227227653,0.77263964908651,208.679444585775,-0.0498151380669352,0.993871679664425,182.703872949141
